millis,stamp,datetime,motion_sensor_1,motion_sensor_2,temperature,sound_digital
278999,1569521097,2019/9/26 18:4:57,0,0,25.5,0
279999,1569521098,2019/9/26 18:4:58,0,0,25.5,0
280998,1569521099,2019/9/26 18:4:59,0,0,25.5,0
282000,1569521100,2019/9/26 18:5:0,0,0,25.5,0
282998,1569521101,2019/9/26 18:5:1,0,1,25.5,0
284998,1569521103,2019/9/26 18:5:3,0,0,25.5,0
286000,1569521104,2019/9/26 18:5:4,0,0,25.5,0
286999,1569521105,2019/9/26 18:5:5,0,0,25.5,0
288000,1569521106,2019/9/26 18:5:6,0,0,25.5,0
288999,1569521107,2019/9/26 18:5:7,0,1,25.5,0
290999,1569521109,2019/9/26 18:5:9,0,0,25.5,0
291999,1569521110,2019/9/26 18:5:10,0,0,25.5,0
292999,1569521111,2019/9/26 18:5:11,0,0,25.5,0
293998,1569521112,2019/9/26 18:5:12,0,0,25.5,0
295000,1569521113,2019/9/26 18:5:13,0,1,25.5,0
296999,1569521115,2019/9/26 18:5:15,0,0,25.5,0
297999,1569521116,2019/9/26 18:5:16,0,0,25.5,0
298998,1569521117,2019/9/26 18:5:17,0,0,25.5,0
299999,1569521118,2019/9/26 18:5:18,0,0,25.5,0
300998,1569521119,2019/9/26 18:5:19,0,1,25.5,0
302999,1569521121,2019/9/26 18:5:21,0,0,25.5,0
304000,1569521122,2019/9/26 18:5:22,0,0,25.5,0
304999,1569521123,2019/9/26 18:5:23,0,0,25.5,0
305999,1569521124,2019/9/26 18:5:24,0,1,25.5,0
307999,1569521126,2019/9/26 18:5:26,0,0,25.4,0
308999,1569521127,2019/9/26 18:5:27,0,0,25.4,0
309999,1569521128,2019/9/26 18:5:28,0,0,25.5,0
310999,1569521129,2019/9/26 18:5:29,0,0,25.4,0
311999,1569521130,2019/9/26 18:5:30,0,0,25.4,0
312998,1569521131,2019/9/26 18:5:31,0,0,25.4,0
313999,1569521132,2019/9/26 18:5:32,0,1,25.4,0
315999,1569521134,2019/9/26 18:5:34,0,0,25.4,0
316999,1569521135,2019/9/26 18:5:35,0,0,25.4,0
317999,1569521136,2019/9/26 18:5:36,0,1,25.4,0
320000,1569521138,2019/9/26 18:5:38,0,0,25.4,0
320999,1569521139,2019/9/26 18:5:39,0,0,25.4,0
321999,1569521140,2019/9/26 18:5:40,0,0,25.4,0
322999,1569521141,2019/9/26 18:5:41,0,1,25.4,0
325000,1569521143,2019/9/26 18:5:43,0,0,25.4,0
325999,1569521144,2019/9/26 18:5:44,0,0,25.4,0
327000,1569521145,2019/9/26 18:5:45,0,0,25.4,0
327998,1569521146,2019/9/26 18:5:46,0,0,25.4,0
328999,1569521147,2019/9/26 18:5:47,0,0,25.4,0
330000,1569521148,2019/9/26 18:5:48,0,0,25.4,0
330999,1569521149,2019/9/26 18:5:49,0,0,25.4,0
332000,1569521150,2019/9/26 18:5:50,0,0,25.4,0
332998,1569521151,2019/9/26 18:5:51,0,0,25.4,0
334000,1569521152,2019/9/26 18:5:52,0,0,25.4,0
334999,1569521153,2019/9/26 18:5:53,0,0,25.4,0
